SERVICENAME,KEY,TXT
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES5","未设置查询"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES6","未设置查询列表"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES7","数据获取失败"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES1","搜索"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES10","CSV 模板输出"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES2","搜索"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES3","取消"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES4","显示"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES5","下一个结果"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES6","上一个结果"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES7","CSV 输出"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES8","移至服务"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES9","服务参数:"
"root.cws.hr_business.hr_emp_search.tran_assign","service.caption","借调信息查询"
"root.cws.hr_business.hr_emp_search.sub_assign","service.caption","其他工作查询"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5153","指定的自定义类型 01 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5156","指定的自定义类型 02 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5159","指定的自定义类型 03 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5162","指定的自定义类型 04 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5165","指定的自定义类型 05 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5168","指定的自定义类型 06 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5171","指定的自定义类型 07 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5174","指定的自定义类型 08 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5177","指定的自定义类型 09 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5180","指定的自定义类型 10 不存在。<br>请联系管理员。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES135","自定义代码 01"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES136","自定义代码 02"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES137","自定义代码 03"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES138","自定义代码 04"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES139","自定义代码 05"
