SERVICE_NAME_DEF,NAME,TXT,L_TXT,R_TXT,COM
"root.cws.appannounce.app_employ.commute","total_cost","通勤/交通总成本","","JPY",""
"root.cws.appannounce.app_employ.commute","total_distance","通勤总距离","","km",""
"root.cws.appannounce.app_employ.commute","total_time","通勤总时间","","部分",""
"root.cws.personalsetting.profilechange","emp_email.email","电子邮件地址","","",""
"root.cws.personalsetting.profilechange","emp_email.email2","电子邮件地址 2","","",""
"root.cws.personalsetting.profilechange","emp_email.email3","电子邮件地址 3","","",""
"root.cws.personalsetting.profilechange","emp_email.email4","电子邮件地址 4","","",""
"root.cws.personalsetting.profilechange","emp_email.email5","电子邮件地址 5","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com01","员工备注 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com02","员工备注 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com03","员工备注 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com04","员工备注 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com05","员工备注 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com06","员工备注 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com07","员工备注 07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com08","员工备注 08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com09","员工备注 09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com10","员工备注 10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com11","员工备注 11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com12","员工备注 12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com13","员工备注 13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com14","员工备注 14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com15","员工备注 15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01","员工自定义类型 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01d","员工自定义日期 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01i","员工自定义数字 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02","员工自定义类型 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02d","员工自定义日期 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02i","员工自定义数字 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03","员工自定义类型 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03d","员工自定义日期 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03i","员工自定义数字 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04","员工自定义类型 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04d","员工自定义日期 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04i","员工自定义数字 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05","员工自定义类型 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05d","员工自定义日期 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05i","员工自定义数字 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06","员工自定义类型 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06d","员工自定义日期 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06i","员工自定义数字 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07","员工自定义类型 07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07d","员工自定义日期 07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex07i","员工自定义数字 07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08","员工自定义类型 08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08d","员工自定义日期 08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex08i","员工自定义数字 08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09","员工自定义类型 09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09d","员工自定义日期 09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex09i","员工自定义数字 09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10","员工自定义类型 10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10d","员工自定义日期 10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex10i","员工自定义数字 10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11","员工自定义类型 11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11d","员工自定义日期 11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex11i","员工自定义数字 11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12","员工自定义类型 12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12d","员工自定义日期 12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex12i","员工自定义数字 12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13","员工自定义类型 13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13d","员工自定义日期 13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex13i","员工自定义数字 13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14","员工自定义类型 14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14d","员工自定义日期 14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex14i","员工自定义数字 14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15","员工自定义类型 15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15d","员工自定义日期 15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex15i","员工自定义数字 15","","",""
"root.cws.personalsetting.profilechange","emp_info.ent_dt","公司入职日期","","",""
"root.cws.personalsetting.profilechange","emp_tel.ext_tel","电话分机","","",""
"root.cws.personalsetting.profilechange","emp_tel.port_tel","移动电话号码","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_an","工作职责缩写","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_cd","工作职责代码","","",""
"root.cws.personalsetting.profilechange","jobgrade.job_nm","工作职责名称","","",""
"root.cws.personalsetting.profilechange","office.ofc_an","分支机构缩写","","",""
"root.cws.personalsetting.profilechange","office.ofc_cd","分支机构代码","","",""
"root.cws.personalsetting.profilechange","office.ofc_nm","分支机构名称","","",""
"root.cws.personalsetting.profilechange","org_section.sec_cd","原所属单位代码","","",""
"root.cws.personalsetting.profilechange","org_section.sec_nm","原所属单位名称","","",""
"root.cws.personalsetting.profilechange","position.psn_an","职称缩写","","",""
"root.cws.personalsetting.profilechange","position.psn_cd","职称代码","","",""
"root.cws.personalsetting.profilechange","position.psn_nm","职称名称","","",""
"root.cws.personalsetting.profilechange","post.pst_an","职位缩写","","",""
"root.cws.personalsetting.profilechange","post.pst_cd","职位代码","","",""
"root.cws.personalsetting.profilechange","post.pst_nm","职位名称","","",""
"root.cws.personalsetting.profilechange","rank.rnk_cd","等级代码","","",""
"root.cws.personalsetting.profilechange","rank.rnk_nm","等级名称","","",""
"root.cws.personalsetting.profilechange","section.sec_an","所属单位缩写","","",""
"root.cws.personalsetting.profilechange","section.sec_cd","所属单位代码","","",""
"root.cws.personalsetting.profilechange","section.sec_nm","所属单位名称","","",""
"root.cws.personalsetting.profilechange","speciality.spc_an","工作类型缩写","","",""
"root.cws.personalsetting.profilechange","speciality.spc_cd","工作类型代码","","",""
"root.cws.personalsetting.profilechange","speciality.spc_nm","工作类型名称","","",""
"root.cws.personalsetting.schemchange","schem_caption","模式名称","","",""
"root.cws.personalsetting.schemchange","schem_comment","模式描述","","",""
"root.cws.personalsetting.telnosetting","ext_tel","电话分机","","",""
"root.cws.personalsetting.telnosetting","port_tel","移动电话号码","","",""
