SCHEM,KEY,TXT,USR_TXT,USR_TXT2,USR_TXT3,USR_TXT4,USR_TXT5,PACKAGE_NAME,PURPOSE,COM,USE_MERGE_FLG,MERGE_STRING,DUPLICATION_PROHIBITION_FLG,PRC_DATE
root,SrwActCtrlPtnHd,勤務実績入力制御設定,勤務実績入力制御設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwActCtrlPtnHd1,一時保存,一時保存,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwActCtrlPtnHd2,日々提出,日々提出,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwActCtrlPtnHd3,日々確認,日々確認,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwCalcTmLotPtnHd,計算期間用レイアウト設定,計算期間用レイアウト設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwChkContPtnHd,連続勤務チェック設定,連続勤務チェック設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwDailyLayoutPtnHd,勤務実績入力レイアウト設定（日次画面）,勤務実績入力レイアウト設定（日次画面）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwDayCheckPtnHd,休日チェック設定,休日チェック設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwDayLimitPtnHd,勤務実績入力限度値設定（日次限度値）,勤務実績入力限度値設定（日次限度値）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwDcNeedCheckPtnHd,日々確認設定,日々確認設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwDiversityPtnHd,汎用マッチング設定,汎用マッチング設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwEboxPtnHd,特殊勤務入力メンテナンス,特殊勤務入力メンテナンス,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwEvKyukaAcPtnHd,累積代休設定,累積代休設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwGiPtnHd,勤怠データ付加情報設定,勤怠データ付加情報設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwInputCtrlPtnHd,勤務時刻入力制限設定,勤務時刻入力制限設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwKriyuFltCdPtnHd,フィルタリングパターン設定（不就労理由）,フィルタリングパターン設定（不就労理由）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwKyukaPtnHd,[旧]休暇フィルタ設定,[旧]休暇フィルタ設定,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwListSrchPtnHdBs,月次一覧検索設定（上長メニュー用）,月次一覧検索設定（上長メニュー用）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
root,SrwListSrchPtnHdPs,月次一覧検索設定（本人メニュー用）,月次一覧検索設定（本人メニュー用）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:21
root,SrwListSrchPtnHdSv,月次一覧検索設定（主管部メニュー用）,月次一覧検索設定（主管部メニュー用）,,,,,shuro.aqua,,適用パターン設定名称,0,,0,2009/11/13 21:01:20
