SERVICENAME,KEY,TXT
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES5","クエリーがセットされていません"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES6","クエリーリストがセットされていません"
"root.cws","jp.co.worksap.common.grid.DBGrid.ML_MES7","データ取得失敗"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES1","検 索"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES10","CSVテンプレート 出力"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES2","検　索"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES3","解 除"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES4","表 示"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES5","次結果"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES6","前結果"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES7","CSV 出力"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES8","サービスへ移動"
"root.cws","jp.co.worksap.common.grid.GridCommon.ML_MES9","サービスパラメーター："
"root.cws.hr_business.hr_emp_search.tran_assign","service.caption","出向情報照会"
"root.cws.hr_business.hr_emp_search.sub_assign","service.caption","兼務情報照会"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5153","指定の予備区分０１は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5156","指定の予備区分０２は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5159","指定の予備区分０３は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5162","指定の予備区分０４は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5165","指定の予備区分０５は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5168","指定の予備区分０６は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5171","指定の予備区分０７は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5174","指定の予備区分０８は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5177","指定の予備区分０９は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.TrueCsReflect.idhr5180","指定の予備区分１０は存在しません。<br>管理者に連絡してください。"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES145","予備区分01"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES146","予備区分02"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES147","予備区分03"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES148","予備区分04"
"root.cws","jp.co.worksap.companyweb.service.appannounce.periodic.batch.AncPeriodicPlanInit.ML_MES149","予備区分05"
