"SERVICE_NAME_DEF","NAME","TXT","L_TXT","R_TXT","COM"
"root.cws.appannounce.app_employ.commute","total_cost","Commuting / Transportation Costs Total","","JPY",""
"root.cws.appannounce.app_employ.commute","total_distance","Commuting Distance Total","","km",""
"root.cws.appannounce.app_employ.commute","total_time","Commuting Time Total","","Part",""
"root.cws.personalsetting.profilechange","emp_email.email","E-mail Address","","",""
"root.cws.personalsetting.profilechange","emp_email.email2","E-mail Address 2","","",""
"root.cws.personalsetting.profilechange","emp_email.email3","E-mail Address 3","","",""
"root.cws.personalsetting.profilechange","emp_email.email4","E-mail Address 4","","",""
"root.cws.personalsetting.profilechange","emp_email.email5","E-mail Address 5","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com01","Employee Remarks 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com02","Employee Remarks 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com03","Employee Remarks 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com04","Employee Remarks 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com05","Employee Remarks 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com06","Employee Remarks 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com07","Employee Remarks 07","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com08","Employee Remarks 08","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com09","Employee Remarks 09","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com10","Employee Remarks 10","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com11","Employee Remarks 11","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com12","Employee Remarks 12","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com13","Employee Remarks 13","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com14","Employee Remarks 14","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_com15","Employee Remarks 15","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01","Employee Custom Type 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01d","Employee Custom Date 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex01i","Employee Custom Numeral 01","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02","Employee Custom Type 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02d","Employee Custom Date 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex02i","Employee Custom Numeral 02","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03","Employee Custom Type 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03d","Employee Custom Date 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex03i","Employee Custom Numeral 03","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04","Employee Custom Type 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04d","Employee Custom Date 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex04i","Employee Custom Numeral 04","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05","Employee Custom Type 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05d","Employee Custom Date 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex05i","Employee Custom Numeral 05","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06","Employee Custom Type 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06d","Employee Custom Date 06","","",""
"root.cws.personalsetting.profilechange","emp_ex.emp_ex06i","Employee Custom Numeral 06","","",""
